id,title,url,rate,tag1,tag2,tag3,tag4,tag5,difficulty,budget,people,prep_time,cooking_time,total_time,title_en,tag1_en,tag2_en,tag3_en,difficulty_en,budget_en
22,"Paëlla fruits de mer, chorizo et poulet de Patou",https://www.marmiton.org/recettes/recette_paella-fruits-de-mer-chorizo-et-poulet-de-patou_50730.aspx,4.8,plat principal,plat unique,paella,,,facile,moyen,4,35,35,70,"Seafood paella, chorizo ​​and Patou chicken",main course,single dish,paella,easy,AVERAGE
23,Epaule d'agneau confite facile,https://www.marmiton.org/recettes/recette_epaule-d-agneau-confite-facile_67739.aspx,4.9,plat principal,viande,viande rôtie,,,facile,moyen,4,10,2,12,Easy candied shoulder of lamb,main course,meat,roast meat,easy,AVERAGE
24,Souris d'agneau au miel et thym,https://www.marmiton.org/recettes/recette_souris-d-agneau-au-miel-et-thym_93493.aspx,4.8,plat principal,viande,viande rôtie,,,très facile,bon marché,4,10,205,215,Lamb shanks with honey and thyme,main course,meat,roast meat,very easy,cheap
25,Bo Bun (Vietnam),https://www.marmiton.org/recettes/recette_bo-bun-vietnam_26967.aspx,4.7,plat principal,plat unique,plats vietnamiens,,,facile,bon marché,4,30,5,35,Bo Bun (Vietnam),main course,single dish,Vietnamese dishes,easy,cheap
26,La côte de bœuf au four facile et cuite à la perfection,https://www.marmiton.org/recettes/recette_la-cote-de-boeuf-au-four-facile-et-cuite-a-la-perfection_372549.aspx,4.6,plat principal,viande,viande rôtie,,,facile,assez cher,4,10,20,30,"Easy, perfectly cooked baked prime rib",main course,meat,roast meat,easy,quite expensive
27,La Vraie Moussaka Grecque,https://www.marmiton.org/recettes/recette_la-vraie-moussaka-grecque_72593.aspx,4.9,plat principal,plat unique,moussaka,,,moyenne,bon marché,4,20,235,255,The Real Greek Moussaka,main course,single dish,moussaka,average,cheap
28,Rôti de porc tout simple,https://www.marmiton.org/recettes/recette_roti-de-porc-tout-simple_170153.aspx,4.5,plat principal,viande,viande rôtie,,,très facile,bon marché,4,5,45,50,Simple Pork Roast,main course,meat,roast meat,very easy,cheap
29,Risotto aux champignons : la vraie recette,https://www.marmiton.org/recettes/recette_risotto-aux-champignons_312215.aspx,4.9,plat principal,"pâtes, riz, semoule",,,,moyenne,bon marché,4,45,30,75,Mushroom Risotto: The Real Recipe,main course,"pasta, rice, semolina",,average,cheap
30,Steak tartare,https://www.marmiton.org/recettes/recette_steak-tartare_18121.aspx,4.7,plat principal,viande,viande rôtie,,,facile,moyen,4,20,0,20,Steak tartare,main course,meat,roast meat,easy,AVERAGE
31,Poulet basquaise,https://www.marmiton.org/recettes/recette_poulet-basquaise_16969.aspx,4.7,plat principal,viande,viande en sauce,,,facile,moyen,4,20,1,21,Basque chicken,main course,meat,meat in sauce,easy,AVERAGE
32,Blanquette de veau : recette traditionnelle,https://www.marmiton.org/recettes/recette_blanquette-de-veau-facile_19219.aspx,4.9,plat principal,viande,viande en sauce,,,très facile,moyen,4,15,2,17,Veal blanquette: traditional recipe,main course,meat,meat in sauce,very easy,AVERAGE
33,Filet mignon de porc rôti à la moutarde à l'ancienne,https://www.marmiton.org/recettes/recette_filet-mignon-de-porc-roti-a-la-moutarde-a-l-ancienne_165059.aspx,4.6,plat principal,viande,viande rôtie,,,facile,moyen,4,10,130,140,Roasted pork tenderloin with old-fashioned mustard,main course,meat,roast meat,easy,AVERAGE
34,Lapin à la moutarde maison,https://www.marmiton.org/recettes/recette_lapin-a-la-moutarde-maison_15983.aspx,4.8,plat principal,viande,viande en sauce,,,très facile,bon marché,4,0,1,1,Rabbit with homemade mustard,main course,meat,meat in sauce,very easy,cheap
35,Rôti de veau au four,https://www.marmiton.org/recettes/recette_roti-de-veau-au-four_61313.aspx,4.7,plat principal,viande,viande rôtie,,,très facile,moyen,4,15,1,16,Roast veal in the oven,main course,meat,roast meat,very easy,AVERAGE
36,"Gratin de pâtes moelleux, facile et pas cher",https://www.marmiton.org/recettes/recette_gratin-de-pates-moelleux-facile-et-pas-cher_53247.aspx,5,plat principal,"pâtes, riz, semoule",gratin de pâtes,,,très facile,bon marché,4,15,10,25,"Soft, easy and inexpensive pasta bake",main course,"pasta, rice, semolina",pasta gratin,very easy,cheap
37,Coquilles Saint Jacques à l'ancienne,https://www.marmiton.org/recettes/recette_coquilles-saint-jacques-a-l-ancienne_24318.aspx,4.8,plat principal,fruits de mer,saint-jacques,,,facile,moyen,4,40,30,70,Old-fashioned scallops,main course,seafood,scallops,easy,AVERAGE
38,Lotte à l'Armoricaine : recette savoureuse,https://www.marmiton.org/recettes/recette_lotte-a-l-armoricaine_16975.aspx,4.8,plat principal,poisson,poisson en sauce,,,facile,assez cher,4,20,40,60,Armoricaine monkfish: a tasty recipe,main course,fish,fish in sauce,easy,quite expensive
39,Mont d'Or au four,https://www.marmiton.org/recettes/recette_mont-d-or-au-four_11287.aspx,4.8,plat principal,plats au fromage,Mont d'Or,,,très facile,moyen,4,10,20,30,Baked Mont d'Or,main course,cheese dishes,Mont d'Or,very easy,AVERAGE
40,Hachis Parmentier,https://www.marmiton.org/recettes/recette_hachis-parmentier_17639.aspx,4.8,plat principal,plat unique,hachis parmentier,,,facile,bon marché,4,25,20,45,Shepherd's Pie,main course,single dish,shepherd's pie,easy,cheap
41,Gnocchis faits maison,https://www.marmiton.org/recettes/recette_gnocchis-faits-maison_309952.aspx,4.6,plat principal,"pâtes, riz, semoule",Gnocchis,,,moyenne,bon marché,4,45,35,80,Homemade Gnocchi,main course,"pasta, rice, semolina",Gnocchi,average,cheap
42,Tagliatelles au saumon frais,https://www.marmiton.org/recettes/recette_tagliatelles-au-saumon-frais_11354.aspx,4.6,plat principal,"pâtes, riz, semoule",tagliatelle,,,très facile,moyen,4,15,10,25,Tagliatelle with fresh salmon,main course,"pasta, rice, semolina",tagliatelle,very easy,AVERAGE
43,Rôti de porc : recette savoureuse,https://www.marmiton.org/recettes/recette_roti-de-porc-a-la-moutarde-et-au-miel_17178.aspx,4.6,plat principal,viande,viande rôtie,,,très facile,bon marché,4,10,1,11,Roast pork: tasty recipe,main course,meat,roast meat,very easy,cheap
44,Tortilla facile (Espagne),https://www.marmiton.org/recettes/recette_tortilla-facile-espagne_16245.aspx,4.4,plat principal,œufs,omelette,,,très facile,bon marché,4,15,20,35,Easy Tortilla (Spain),main course,eggs,omelette,very easy,cheap
45,Pad Thai,https://www.marmiton.org/recettes/recette_pad-thai_11946.aspx,4.3,plat principal,plat unique,plats thaï,,,facile,bon marché,4,30,15,45,Pad Thai,main course,single dish,thai dishes,easy,cheap
46,Fajitas au poulet,https://www.marmiton.org/recettes/recette_fajitas-au-poulet_26631.aspx,4.8,plat principal,plat unique,plats mexicains,,,facile,moyen,4,10,28,38,Chicken Fajitas,main course,single dish,mexican dishes,easy,AVERAGE
47,Falafel (croquettes de pois chiches),https://www.marmiton.org/recettes/recette_falafel-croquettes-de-pois-chiches_23038.aspx,4.1,plat principal,viande,boulettes de viande,,,moyenne,bon marché,4,1,20,21,Falafel (chickpea croquettes),main course,meat,meatballs,average,cheap
48,Aubergines à la Parmigiana,https://www.marmiton.org/recettes/recette_aubergines-a-la-parmigiana_36293.aspx,4.5,plat principal,plat végétarien,,,,facile,bon marché,4,30,1,31,Eggplant Parmigiana,main course,vegetarian dish,,easy,cheap
49,Mafé poulet (Sénégal),https://www.marmiton.org/recettes/recette_mafe-poulet-senegal_18661.aspx,4.5,plat principal,plat unique,plats africains,,,facile,moyen,4,30,45,75,Chicken Mafé (Senegal),main course,single dish,african dishes,easy,AVERAGE
50,poulet au coco et curry,https://www.marmiton.org/recettes/recette_poulet-au-coco-et-curry_17803.aspx,4.8,plat principal,viande,viande en sauce,,,très facile,bon marché,4,15,1,16,coconut chicken curry,main course,meat,meat in sauce,very easy,cheap
51,Filet de poulet au curry,https://www.marmiton.org/recettes/recette_filet-de-poulet-au-curry_80990.aspx,4.9,plat principal,viande,viande en sauce,,,facile,bon marché,4,10,15,25,Chicken fillet with curry,main course,meat,meat in sauce,easy,cheap
52,Cordon bleu,https://www.marmiton.org/recettes/recette_cordon-bleu_27731.aspx,4.8,plat principal,plat unique,cordon bleu,,,très facile,bon marché,4,10,8,18,Cordon bleu,main course,single dish,blue cord,very easy,cheap
53,Oeuf poché ultra simple,https://www.marmiton.org/recettes/recette_oeuf-poche-plus-simple-pas-possible_174102.aspx,4.4,plat principal,œufs,œuf poché,,,facile,bon marché,4,0,5,5,Super simple poached egg,main course,eggs,poached egg,easy,cheap
54,Carbonara traditionnelle,https://www.marmiton.org/recettes/recette_carbonara-traditionnelle_340808.aspx,4.7,plat principal,"pâtes, riz, semoule",pâtes en sauce,,,facile,bon marché,4,20,15,35,Traditional carbonara,main course,"pasta, rice, semolina",pasta in sauce,easy,cheap
55,Galettes de pomme de terre,https://www.marmiton.org/recettes/recette_galettes-de-pomme-de-terre_14072.aspx,3.9,plat principal,plat végétarien,galette de légumes,,,facile,bon marché,4,25,10,35,Potato pancakes,main course,vegetarian dish,vegetable pancake,easy,cheap
56,Poulet rôti et ses pommes de terre,https://www.marmiton.org/recettes/recette_poulet-roti-et-ses-pommes-de-terre_43958.aspx,4.7,plat principal,viande,viande rôtie,,,très facile,bon marché,4,15,1,16,Roast chicken and potatoes,main course,meat,roast meat,very easy,cheap
57,Curry de pois chiches,https://www.marmiton.org/recettes/recette_curry-de-pois-chiches_22535.aspx,4.8,plat principal,plat végétarien,curry de légumes,,,facile,bon marché,4,15,40,55,Chickpea curry,main course,vegetarian dish,vegetable curry,easy,cheap
58,Boudin noir poêlé aux pommes,https://www.marmiton.org/recettes/recette_boudin-noir-poele-aux-pommes_27785.aspx,4.6,plat principal,viande,viande en sauce,,,facile,bon marché,4,25,45,70,Pan-fried black pudding with apples,main course,meat,meat in sauce,easy,cheap
59,Magret de canard au four,https://www.marmiton.org/recettes/recette_magret-de-canard-au-four_80687.aspx,4.6,plat principal,viande,viande rôtie,,,très facile,moyen,4,5,30,35,Baked duck breast,main course,meat,roast meat,very easy,AVERAGE
60,Langue de boeuf sauce piquante aux cornichons,https://www.marmiton.org/recettes/recette_langue-de-boeuf-sauce-piquante-cornichons_170277.aspx,4.8,plat principal,viande,abats,,,facile,moyen,4,30,145,175,Beef tongue with spicy pickle sauce,main course,meat,offal,easy,AVERAGE
61,Fondue aux poireaux,https://www.marmiton.org/recettes/recette_fondue-de-poireaux_20348.aspx,4.7,plat principal,plats au fromage,fondue au fromage,,,très facile,bon marché,4,30,30,60,Leek fondue,main course,cheese dishes,cheese fondue,very easy,cheap
62,Travers de porc grillés à la sauce barbecue,https://www.marmiton.org/recettes/recette_travers-de-porc-grilles-a-la-sauce-barbecue_22192.aspx,4.8,plat principal,viande,viande rôtie,,,facile,moyen,4,5,45,50,Grilled Pork Ribs with Barbecue Sauce,main course,meat,roast meat,easy,AVERAGE
63,Calamars à l'armoricaine,https://www.marmiton.org/recettes/recette_calamars-a-l-armoricaine_31894.aspx,4.7,plat principal,fruits de mer,"calamar, poulpe",,,facile,moyen,4,15,1,16,Armorican Squid,main course,seafood,"squid, octopus",easy,AVERAGE
64,Ailes de raie aux câpres,https://www.marmiton.org/recettes/recette_ailes-de-raie-aux-capres_172258.aspx,4.6,plat principal,poisson,,,,facile,moyen,4,5,15,20,Skate wings with capers,main course,fish,,easy,AVERAGE
65,Tajine traditionnel (Maroc),https://www.marmiton.org/recettes/recette_tajine-traditionnel-maroc_14163.aspx,4.8,plat principal,plat unique,tajine,,,très facile,bon marché,4,15,1,16,Traditional Tajine (Morocco),main course,single dish,tagine,very easy,cheap
66,Paupiettes de veau,https://www.marmiton.org/recettes/recette_paupiettes-de-veau_82641.aspx,4.9,plat principal,viande,viande en sauce,,,très facile,bon marché,4,15,30,45,Veal paupiettes,main course,meat,meat in sauce,very easy,cheap
67,Moules marinières persillées,https://www.marmiton.org/recettes/recette_moules-marinieres-persillees_32408.aspx,4.7,plat principal,fruits de mer,moules,,,très facile,bon marché,4,20,10,30,Mussels marinière with parsley,main course,seafood,mussels,very easy,cheap
68,Sauté de porc à la crème de moutarde,https://www.marmiton.org/recettes/recette_saute-de-porc-a-la-creme-de-moutarde_173829.aspx,4.7,plat principal,viande,viande en sauce,,,facile,bon marché,4,15,25,40,Pork stir-fry with mustard cream,main course,meat,meat in sauce,easy,cheap
69,Riz cantonais facile,https://www.marmiton.org/recettes/recette_riz-cantonais-facile_27686.aspx,4.6,plat principal,"pâtes, riz, semoule",plat de riz,,,très facile,bon marché,4,20,30,50,Easy Cantonese Rice,main course,"pasta, rice, semolina",rice dish,very easy,cheap
70,Omelette nature,https://www.marmiton.org/recettes/recette_omelette-nature_21255.aspx,4.8,plat principal,œufs,omelette,,,facile,bon marché,4,5,10,15,Plain omelette,main course,eggs,omelette,easy,cheap
71,Bar au four,https://www.marmiton.org/recettes/recette_bar-au-four_21505.aspx,4.8,plat principal,poisson,poisson au four,,,très facile,moyen,4,15,25,40,Baked Sea Bass,main course,fish,baked fish,very easy,AVERAGE
72,Pâte aux crevettes a la crème,https://www.marmiton.org/recettes/recette_pate-aux-crevettes-a-la-creme_171330.aspx,4.4,plat principal,fruits de mer,crevettes,,,très facile,bon marché,4,20,15,35,Creamy Shrimp Pasta,main course,seafood,shrimp,very easy,cheap
73,Poulet curry et oignons facile,https://www.marmiton.org/recettes/recette_poulet-curry-et-oignons-facile_13026.aspx,4.7,plat principal,viande,viande en sauce,,,très facile,bon marché,4,5,15,20,Easy Chicken and Onion Curry,main course,meat,meat in sauce,very easy,cheap
74,Camembert rôti au miel,https://www.marmiton.org/recettes/recette_camembert-roti-au-miel_45038.aspx,4.8,plat principal,plats au fromage,camembert,,,facile,bon marché,4,15,10,25,Camembert roasted with honey,main course,cheese dishes,Camembert,easy,cheap
75,Sole meuniere,https://www.marmiton.org/recettes/recette_sole-meuniere_165182.aspx,4.8,plat principal,poisson,,,,facile,moyen,4,10,10,20,Sole meuniere,main course,fish,,easy,AVERAGE
76,Oeufs brouillés nature,https://www.marmiton.org/recettes/recette_oeufs-brouilles-nature_30569.aspx,4.7,plat principal,œufs,œufs brouillés,,,très facile,bon marché,4,5,15,20,Plain scrambled eggs,main course,eggs,scrambled eggs,very easy,cheap
77,Rosbeef au four à l'ail,https://www.marmiton.org/recettes/recette_rosbeef-au-four-a-l-ail_232964.aspx,4.9,plat principal,viande,viande rôtie,,,facile,moyen,4,10,30,40,Roast beef in the oven with garlic,main course,meat,roast meat,easy,AVERAGE
78,Escalopes milanaises comme en Italie,https://www.marmiton.org/recettes/recette_escalopes-milanaises-comme-en-italie_55750.aspx,4.8,plat principal,viande,viande rôtie,,,très facile,bon marché,4,25,10,35,Milanese escalopes like in Italy,main course,meat,roast meat,very easy,cheap
79,Lentilles corail au curry,https://www.marmiton.org/recettes/recette_lentilles-corail-au-curry_40286.aspx,4.7,plat principal,viande,viande en sauce,,,très facile,bon marché,4,10,15,25,Curried coral lentils,main course,meat,meat in sauce,very easy,cheap
80,Navarin d'agneau,https://www.marmiton.org/recettes/recette_navarin-d-agneau_48254.aspx,4.8,plat principal,viande,viande en sauce,,,facile,moyen,4,20,2,22,Lamb stew,main course,meat,meat in sauce,easy,AVERAGE
81,Endives au jambon,https://www.marmiton.org/recettes/recette_endives-au-jambon_25868.aspx,4.5,plat principal,plat unique,endives au jambon,,,très facile,bon marché,4,15,55,70,Endives with ham,main course,single dish,endives with ham,very easy,cheap
82,Dos de cabillaud tout simple,https://www.marmiton.org/recettes/recette_dos-de-cabillaud-tout-simple_72532.aspx,4.7,plat principal,poisson,filets de poisson,,,très facile,assez cher,4,3,15,18,Simple cod back,main course,fish,fish fillets,very easy,quite expensive
83,Véritable tajine poulet olives et citrons confits et huile d'argan,https://www.marmiton.org/recettes/recette_veritable-tajine-de-poulet-aux-citrons-confits-et-aux-olives_231929.aspx,4.7,plat principal,plat unique,tajine,,,facile,bon marché,4,15,130,145,Real chicken tagine with olives and preserved lemons and argan oil,main course,single dish,tagine,easy,cheap
84,Osso bucco de veau,https://www.marmiton.org/recettes/recette_osso-bucco-de-veau_16090.aspx,5,plat principal,viande,viande en sauce,,,facile,moyen,4,20,45,65,Veal osso bucco,main course,meat,meat in sauce,easy,AVERAGE
85,Dahl de lentilles corail,https://www.marmiton.org/recettes/recette_dahl-de-lentilles-corail_166862.aspx,4.5,plat principal,plat végétarien,dal,,,facile,bon marché,4,10,20,30,Coral lentil dahl,main course,vegetarian dish,from,easy,cheap
86,Tacos mexicains,https://www.marmiton.org/recettes/recette_tacos-mexicains_34389.aspx,4.6,plat principal,plat unique,plats mexicains,,,très facile,bon marché,4,30,25,55,Mexican Tacos,main course,single dish,mexican dishes,very easy,cheap
87,Bourguignon de sanglier facile,https://www.marmiton.org/recettes/recette_bourguignon-de-sanglier-facile_232489.aspx,4.8,plat principal,viande,viande rôtie,,,facile,bon marché,4,20,130,150,Easy wild boar bourguignon,main course,meat,roast meat,easy,cheap
88,Moules à la crème,https://www.marmiton.org/recettes/recette_moules-a-la-creme_33388.aspx,4.6,plat principal,fruits de mer,moules,,,facile,bon marché,4,15,20,35,Mussels in cream sauce,main course,seafood,mussels,easy,cheap
89,Spaghetti bolognaise,https://www.marmiton.org/recettes/recette_spaghetti-bolognaise_19840.aspx,4.3,plat principal,"pâtes, riz, semoule",pâtes en sauce,,,très facile,bon marché,4,20,1,21,Spaghetti Bolognese,main course,"pasta, rice, semolina",pasta in sauce,very easy,cheap
90,Marinade pour brochettes de poulet,https://www.marmiton.org/recettes/recette_marinade-pour-brochettes-de-poulet_58368.aspx,4.9,plat principal,viande,viande rôtie,,,très facile,bon marché,4,10,0,10,Marinade for chicken skewers,main course,meat,roast meat,very easy,cheap
91,Fondue Savoyarde,https://www.marmiton.org/recettes/recette_fondue-savoyarde_21964.aspx,4.5,plat principal,plats au fromage,fondue au fromage,,,facile,assez cher,4,40,20,60,Savoyard fondue,main course,cheese dishes,cheese fondue,easy,quite expensive
92,Nouilles chinoises aux légumes et aux épices,https://www.marmiton.org/recettes/recette_nouilles-chinoises-aux-legumes-et-aux-epices_21482.aspx,4.8,plat principal,"pâtes, riz, semoule",autres pâtes,,,très facile,bon marché,4,20,5,25,Chinese noodles with vegetables and spices,main course,"pasta, rice, semolina",other pasta,very easy,cheap
93,Poutine typiquement québécoise,https://www.marmiton.org/recettes/recette_poutine-typiquement-quebecoise_71199.aspx,3.6,plat principal,plats au fromage,poutine,,,facile,bon marché,4,15,10,25,Typical Quebec poutine,main course,cheese dishes,poutine,easy,cheap
94,Cannelloni de viande,https://www.marmiton.org/recettes/recette_cannelloni-de-viande_45211.aspx,4.5,plat principal,"pâtes, riz, semoule",autres pâtes,,,très facile,bon marché,4,20,1,21,Meat cannelloni,main course,"pasta, rice, semolina",other pasta,very easy,cheap
95,Fish and Chips (la vraie pâte à friture anglaise),https://www.marmiton.org/recettes/recette_fish-and-chips-la-vraie-pate-a-friture-anglaise_22308.aspx,4.8,plat principal,poisson,fish and chips,,,très facile,bon marché,4,20,4,24,Fish and Chips (the real English fried batter),main course,fish,fish and chips,very easy,cheap
96,Pâtes au thon,https://www.marmiton.org/recettes/recette_pates-au-thon_13754.aspx,4.5,plat principal,"pâtes, riz, semoule",autres pâtes,,,très facile,bon marché,4,10,10,20,Tuna pasta,main course,"pasta, rice, semolina",other pasta,very easy,cheap
97,Pommes de terre farcies,https://www.marmiton.org/recettes/recette_pommes-de-terre-farcies_63959.aspx,4.6,plat principal,plat unique,légumes farcis,,,très facile,bon marché,4,15,55,70,Stuffed potatoes,main course,single dish,stuffed vegetables,very easy,cheap
98,Pâtes fraîches,https://www.marmiton.org/recettes/recette_pates-fraiches_11537.aspx,4.7,plat principal,"pâtes, riz, semoule",autres pâtes,,,difficile,bon marché,4,1,10,11,Fresh pasta,main course,"pasta, rice, semolina",other pasta,difficult,cheap
99,Boeuf Bourguignon rapide au Cookeo,https://www.marmiton.org/recettes/recette_boeuf-bourguignon-rapide-au-cookeo_383151.aspx,4.7,plat principal,viande,viande en sauce,,,très facile,bon marché,4,0,0,0,Quick Beef Bourguignon in the Cookeo,main course,meat,meat in sauce,very easy,cheap
699,Tortilla froides au saumon (wraps),https://www.marmiton.org/recettes/recette_tortilla-froides-au-saumon-wraps_49542.aspx,4.8,plat principal,œufs,omelette,,,très facile,moyen,4,10,0,10,Cold salmon tortilla wraps,main course,eggs,omelette,very easy,AVERAGE
100,Filet de lieu noir  crème et moutarde,https://www.marmiton.org/recettes/recette_filet-de-lieu-noir-creme-et-moutarde_343779.aspx,4.9,plat principal,poisson,filets de poisson,,,très facile,moyen,4,15,30,45,Black pollack fillet with cream and mustard,main course,fish,fish fillets,very easy,AVERAGE
101,Colombo de poulet,https://www.marmiton.org/recettes/recette_colombo-de-poulet_36849.aspx,4.6,plat principal,viande,viande en sauce,,,moyenne,moyen,4,10,50,60,Chicken Colombo,main course,meat,meat in sauce,average,AVERAGE
102,Courgettes rondes farcies,https://www.marmiton.org/recettes/recette_courgettes-rondes-farcies_223873.aspx,4.8,plat principal,plat unique,légumes farcis,,,facile,bon marché,4,10,110,120,Stuffed round zucchini,main course,single dish,stuffed vegetables,easy,cheap
103,Côte de boeuf barbecue au gros sel,https://www.marmiton.org/recettes/recette_cote-de-boeuf-barbecue-au-gros-sel_39074.aspx,4.8,plat principal,viande,viande rôtie,,,facile,moyen,4,15,15,30,Barbecued beef rib with coarse salt,main course,meat,roast meat,easy,AVERAGE
104,Tartiflette : la vraie recette,https://www.marmiton.org/recettes/recette_la-vraie-tartiflette_17634.aspx,4.7,plat principal,plats au fromage,tartiflette,,,très facile,bon marché,4,15,1,16,Tartiflette: the real recipe,main course,cheese dishes,tartiflette,very easy,cheap
105,Côtes de porc au four,https://www.marmiton.org/recettes/recette_cotes-de-porc-au-four_65338.aspx,4.4,plat principal,viande,viande rôtie,,,très facile,bon marché,4,10,45,55,Baked Pork Chops,main course,meat,roast meat,very easy,cheap
